question,answer
John buys thank you cards.  He decides to buy them for people who got him Christmas and birthday presents.  He sent 20 for Christmas gifts and 15 for birthday gifts.  If each card cost $2 how much did he spend on cards?,"He bought 20+15=<<20+15=35>>35 cards
So he spent 35*2=$<<35*2=70>>70
#### 70"
"In a field where there are 200 animals, there are 40 cows, 56 sheep and goats. How many goats are there?","We have 56 + 40 = <<56+40=96>>96 animals other than goats.
So, we have 200 – 96 = <<200-96=104>>104 goats
#### 104"
"Paul is working at a university. He is part of a big project, which involves 70 scientists in total. Half of them are from Europe and one-fifth are from Canada. The rest are from the USA. How many scientists in this project are from the USA?","Of all the scientists taking part in the project, half of them are from Europe, which means 70 * 0.5 = <<70*0.5=35>>35 people.
The number of researchers from Canada is 70 * 1/5 = <<70*1/5=14>>14 people.
That means there are 70 - 35 - 14 = <<70-35-14=21>>21 researchers from the USA.
#### 21"
"Mark is reading books, for 2 hours each day. He decided to increase his time spent on reading books weekly, by 4 hours. How much time does Mark want to spend during one week on reading books?","Currently, Mark is reading books for 2 * 7 = <<2*7=14>>14 hours weekly.
His goal is to read books, for 14 + 4 = <<14+4=18>>18 hours during one week.
#### 18"
A survey conducted by the school showed that only 20% of the 800 parents agree to a tuition fee increase. How many parents disagree with the tuition fee increase?,"There were 800 x 20/100 = <<800*20/100=160>>160 parents who agreed to the tuition fee increase.
So, there were 800 - 160 = <<800-160=640>>640 parents who disagreed.
#### 640"
"In a shop, there is a sale of clothes. Every shirt costs $5, every hat $4, and a pair of jeans $10. How much do you need to pay for three shirts, two pairs of jeans, and four hats?","Three shirts cost 3 * 5 = $<<3*5=15>>15.
Two pairs of jeans would cost 2 * 10 = $<<2*10=20>>20.
Four hats would in total cost 4 * 4 = $<<4*4=16>>16.
So for three shirts, two pairs of jeans, and four hats, you would need to pay 15 + 20 + 16 = $<<15+20+16=51>>51.
#### 51"
"Titan's father has an onion farm ready for harvest. He borrows Mr. Clay's pickup and transports the harvest to their store, carrying ten bags per trip, prepared for sale. If the onions are in 50 kgs bags, and the pickup makes 20 trips, what's the total weight of onions harvested by Titan's father?","On one trip, the pickup carries 10 bags * 50 kg/bag = <<10*50=500>>500kg of onions
After 20 trips, the total weight of onions transported to the store is 20 trips * 500 kg/trip = <<20*500=10000>>10000 kgs
#### 10000"
"New York is two-thirds as populated as all of New England. If New England has 2100000 people, calculate the combined population of both states.","New York is two-thirds as populated as all of New England, meaning there are 2/3*2100000 = <<2/3*2100000=1400000>>1400000 people living in New York.
The combined population of both states is 1400000+2100000 = <<1400000+2100000=3500000>>3500000
#### 3500000"
"Miriam currently has 30 marbles, but she used to have more. Miriam gave her brother 60 marbles, gave her sister twice that amount and gave her friend Savanna three times the amount she currently has. How many marbles did Miriam start with?","If Mariam remains with 30 marbles after giving her brother 60 marbles, she had 30+60 = <<30+60=90>>90 marbles.
Mariam's sister receives twice as many marbles as her brother, a total of 2*60 = <<2*60=120>>120 marbles.
The total number of marbles before giving any to her brother or sister is 120+90= <<120+90=210>>210
Savannah is to receive three times as many marbles as Mariam has to remain with, a total of 3*30 = <<3*30=90>>90 marbles.
Before giving out any marble, Mariam has 210+90 = <<210+90=300>>300 marbles.
#### 300"
"Lisa is making a pizza. She uses 30 pieces of pepperoni for a pizza, twice as many pieces of ham, and 12 more pieces of sausage than pepperoni. If there are 6 slices of pizza, and everything was distributed evenly, how many pieces of meat altogether are on each slice?","There are 30*2 = <<30*2=60>>60 pieces of ham put on the pizza.
There are 30+12 = <<30+12=42>>42 pieces of sausage put on the pizza.
There are 30/6 = <<30/6=5>>5 pieces of pepperoni on each pizza slice.
There are 60/6 = <<60/6=10>>10 pieces of ham on each pizza slice.
There are 42/6 = <<42/6=7>>7 pieces of sausage on each pizza slice.
There are 5+10+7 = <<5+10+7=22>>22 pieces altogether on each slice of pizza.
#### 22"
"Markus is twice the age of his son, and Markus's son is twice the age of Markus's grandson.  If the sum of the ages of Markus, his son, and his grandson is 140 years, then how many years old is Markus's grandson?","Let ""x"" be the age of Markus's grandson.
If Markus's son is twice the age of Markus's grandson, then Markus's son is 2*x.
If Markus is twice the age of his son, then Markus is 2*2*x.
Therefore, if the sum of the ages of Markus, his son, and his grandson is 140 years, then x+(2*x)+(2*2*x)=140 years.
Simplifying the equation, we see that 7*x=140 years.
Therefore, the age of Markus's grandson is x=20 years old.
#### 20"
"When Betty makes cheesecake, she sweetens it with a ratio of one part sugar to four parts cream cheese, and she flavors it with one teaspoon of vanilla for every two cups of cream cheese. For every one teaspoon of vanilla, she uses two eggs. She used two cups of sugar in her latest cheesecake. How many eggs did she use?","Betty used 2 cups of sugar in her cheesecake, so she used 2 * 1 = <<2*1=2>>2 times her ratio.
Thus, she used 2 * 4 = <<2*4=8>>8 cups of cream cheese.
She uses 1 teaspoon of vanilla for 2 cups of cream cheese, so she used 8 / 2 = 4 teaspoons of vanilla.
For each teaspoon of vanilla, she uses 2 eggs, so she used 2 * 4 = <<2*4=8>>8 eggs.
#### 8"
"A florist offers for sale 75 narcissus flowers and 90 chrysanthemums. Using all the flowers, how many bouquets containing 5 flowers each can he make?","The florist can make 75/5 = <<75/5=15>>15 bouquets of narcissus.
The florist can make 90/5 = <<90/5=18>>18 bouquets of chrysanthemums.
The florist can make 15 +18 = <<15+18=33>>33 bouquets in total.
#### 33"
"Every week of last month Paul tried out a new cake recipe.  The first week, he followed a cake recipe that called for 24 cups of sugar. Each week after that, he reduced the amount of sugar by half. How much sugar did he use for the cake on the fourth week?","On the 2nd week, Paul halved the first week's sugar, therefore he used 24/2 = <<24/2=12>>12 cups
The third week, Paul used 12/2 = <<12/2=6>>6 cups
The fourth week, he used 6/2 = <<6/2=3>>3 cups
#### 3"
"When Diane turns 30, she will be half the age of Alex and twice as old as Allison. Diane is 16 years old now. What is the sum of the ages of Alex and Allison now?","When Dianne turns 30, Alex will be 30 x 2 = <<30*2=60>>60 years old.
Allison will be 30/2 = <<30/2=15>>15 years old then.
Dianne will turn 30 in 30 - 16 = <<30-16=14>>14 years.
Currently, the age of Alex is 60 - 14 = <<60-14=46>>46.
Currently, Allison is 15 - 14 = <<15-14=1>>1 year old.
So, the sum of Alex and Allison's ages now is 46 + 1 = <<46+1=47>>47 years old.
#### 47"
Adam teaches 50 students a year. How many students will Adam teach in 10 years if in the first year he only teaches 40 students?,"Adam will teach 50 * 9 = <<50*9=450>>450 students in 9 years.
So, in 10 year Adam will teach 450 + 40 = <<450+40=490>>490 students.
#### 490"
"Olaf collects colorful toy cars. At first, his collection consisted of 150 cars. His family, knowing his hobby, decided to give him some toy cars. Grandpa gave Olaf twice as many toy cars as the uncle. Dad gave Olaf 10 toy cars, 5 less than Mum. Auntie gave Olaf 6 toy cars, 1 more than the uncle. How many toy cars does Olaf have in total, after receiving all these gifts?","Dad gave Olaf 10 toy cars,
Mom has given Olaf 5 more toy cars than Dad, so 10 + 5 = <<10+5=15>>15 toy cars
Auntie gave Olaf 6 toy cars,
Uncle has given 1 less toy than Auntie, so 6 - 1 = <<6-1=5>>5 toy cars
Grandpa gave Olaf 2 * 5 = <<2*5=10>>10 toy cars.
All the family together gave Olaf 10 +15 + 6 + 5 + 10 = <<10+15+6+5+10=46>>46.
Adding the cars Olaf already had, Olaf's collection has 150 + 46 = <<150+46=196>>196 cars.
#### 196"
"Marcy is a makeup artist and has agreed to do some makeup for her friend's wedding. The only makeup she has limited stock of is lip gloss so she counts how many tubes she needs. Each tube of lip gloss will hold enough lip gloss for 3 people's makeup. Marcy decides to bring 6 tubs of lip gloss, each of which holds 2 tubes of lip gloss, and this will be the exact amount she needs for everyone's makeup. How many people is Marcy painting with makeup?","Marcy is bringing 6 tubs of lip gloss * 2 tubes of lip gloss per tub of lip gloss = <<6*2=12>>12 tubes of lip gloss.
So she must be applying makeup to 12 tubes of lip gloss * 3 people per tube of lip gloss = <<12*3=36>>36 people.
#### 36"
"Tony has two fish. Every year, his parents buy him two more, but one of them dies. How many fish will he have in five years?","Each year Tony has one more fish than before because 2 - 1 = <<2-1=1>>1
In five years, he will have 5 more fish because 5 x 1 = <<5*1=5>>5
In five years he will have 7 fish because 2 + 5 = <<2+5=7>>7
#### 7"
Nick is trying to raise money for a charity. He is selling candy bars for $5. He is also selling chocolate oranges for $10. He wants to raise $1000. He only had 20 chocolate oranges that he sold out. How many candy bars does Nick need to sell to reach his goal?,"Nick has made 20 * $10 = $<<20*10=200>>200 from the chocolate oranges.
This means he needs to raise another $1000 - $200 = $<<1000-200=800>>800.
He needs to sell a total of $800 / $5 = <<800/5=160>>160 candy bars to reach his goal.
#### 160"
