id,title,context,question,answers,answer
5acfa8be77cf76001a685778,Namibia,"Namibia extends from 17°S to 25°S: climatically the range of the sub-Tropical High Pressure Belt, arid is the overall climate description descending from the Sub-Humid (mean rain above 500 mm) through Semi-Arid between 300 and 500 mm (embracing most of the waterless Kalahari) and Arid from 150 to 300 mm (these three regions are inland from the western escarpment) to the Hyper-Arid coastal plain with less than a 100 mm mean. Temperature maxima are limited by the overall elevation of the entire region: only in the far south, Warmbad for instance, are mid-40 °C maxima recorded.",What is the climate description for the southern half of Namibia?,"{'text': [], 'answer_start': []}",[]
56d11a1b17492d1400aab95d,The_Legend_of_Zelda:_Twilight_Princess,"The GameCube and Wii versions feature several minor differences in their controls. The Wii version of the game makes use of the motion sensors and built-in speaker of the Wii Remote. The speaker emits the sounds of a bowstring when shooting an arrow, Midna's laugh when she gives advice to Link, and the series' trademark ""chime"" when discovering secrets. The player controls Link's sword by swinging the Wii Remote. Other attacks are triggered using similar gestures with the Nunchuk. Unique to the GameCube version is the ability for the player to control the camera freely, without entering a special ""lookaround"" mode required by the Wii; however, in the GameCube version, only two of Link's secondary weapons can be equipped at a time, as opposed to four in the Wii version.[g]",The Wii version makes use of what kind of sensors?,"{'text': ['motion'], 'answer_start': [128]}",['motion']
572fe288b2c2fd140056855e,Premier_League,"The first Sky television rights agreement was worth £304 million over five seasons. The next contract, negotiated to start from the 1997–98 season, rose to £670 million over four seasons. The third contract was a £1.024 billion deal with BSkyB for the three seasons from 2001–02 to 2003–04. The league brought in £320 million from the sale of its international rights for the three-year period from 2004–05 to 2006–07. It sold the rights itself on a territory-by-territory basis. Sky's monopoly was broken from August 2006 when Setanta Sports was awarded rights to show two out of the six packages of matches available. This occurred following an insistence by the European Commission that exclusive rights should not be sold to one television company. Sky and Setanta paid a total of £1.7 billion, a two-thirds increase which took many commentators by surprise as it had been widely assumed that the value of the rights had levelled off following many years of rapid growth. Setanta also hold rights to a live 3 pm match solely for Irish viewers. The BBC has retained the rights to show highlights for the same three seasons (on Match of the Day) for £171.6 million, a 63 per cent increase on the £105 million it paid for the previous three-year period. Sky and BT have agreed to jointly pay £84.3 million for delayed television rights to 242 games (that is the right to broadcast them in full on television and over the internet) in most cases for a period of 50 hours after 10 pm on matchday. Overseas television rights fetched £625 million, nearly double the previous contract. The total raised from these deals is more than £2.7 billion, giving Premier League clubs an average media income from league games of around £40 million-a-year from 2007 to 2010.",How much many did the Premier League make from selling its internation rights during 2004-07?,"{'text': ['The league brought in £320 million from the sale of its international rights for the three-year period from 2004–05 to 2006–07'], 'answer_start': [291]}",['The league brought in £320 million from the sale of its international rights for the three-year period from 2004–05 to 2006–07']
56f75e62aef2371900625b69,Treaty,"According to the preamble in The Law of Treaties, treaties are a source of international law. If an act or lack thereof is condemned under international law, the act will not assume international legality even if approved by internal law. This means that in case of a conflict with domestic law, international law will always prevail.",What are started to be a source of international law in the preamble in The Law of Treaties?,"{'text': ['treaties'], 'answer_start': [50]}",['treaties']
5725c74589a1e219009abe8f,Montevideo,"Tourism accounts for much of Uruguay's economy. Tourism in Montevideo is centered in the Ciudad Vieja area, which includes the city's oldest buildings, several museums, art galleries, and nightclubs, with Sarandí Street and the Mercado del Puerto being the most frequented venues of the old city. On the edge of Ciudad Vieja, Plaza Independencia is surrounded by many sights, including the Solís Theatre and the Palacio Salvo; the plaza also constitutes one end of 18 de Julio Avenue, the city's most important tourist destination outside of Ciudad Vieja. Apart from being a shopping street, the avenue is noted for its Art Deco buildings, three important public squares, the Gaucho Museum, the Palacio Municipal and many other sights. The avenue leads to the Obelisk of Montevideo; beyond that is Parque Batlle, which along with the Parque Prado is another important tourist destination. Along the coast, the Fortaleza del Cerro, the Rambla (the coastal avenue), 13 kilometres (8.1 mi) of sandy beaches, and Punta Gorda attract many tourists, as do the Barrio Sur and Palermo barrios.",Where is tourism in Montevideo centered in?,"{'text': ['Ciudad Vieja area'], 'answer_start': [89]}",['Ciudad Vieja area']
572fc5c004bcaa1900d76cec,Bacteria,"Unlike in multicellular organisms, increases in cell size (cell growth) and reproduction by cell division are tightly linked in unicellular organisms. Bacteria grow to a fixed size and then reproduce through binary fission, a form of asexual reproduction. Under optimal conditions, bacteria can grow and divide extremely rapidly, and bacterial populations can double as quickly as every 9.8 minutes. In cell division, two identical clone daughter cells are produced. Some bacteria, while still reproducing asexually, form more complex reproductive structures that help disperse the newly formed daughter cells. Examples include fruiting body formation by Myxobacteria and aerial hyphae formation by Streptomyces, or budding. Budding involves a cell forming a protrusion that breaks away and produces a daughter cell.",What are produced in cell division?,"{'text': ['two identical clone daughter cells'], 'answer_start': [418]}",['two identical clone daughter cells']
5ad3e456604f3c001a3ff571,Canadian_Armed_Forces,"Prior to Confederation in 1867, residents of the colonies in what is now Canada served as regular members of French and British forces and in local militia groups. The latter aided in the defence of their respective territories against attacks by other European powers, Aboriginal peoples, and later American forces during the American Revolutionary War and War of 1812, as well as in the Fenian raids, Red River Rebellion, and North-West Rebellion. Consequently, the lineages of some Canadian army units stretch back to the early 19th century, when militia units were formed to assist in the defence of British North America against invasion by the United States.",What year wasn't Canada united in a confederation?,"{'text': [], 'answer_start': []}",[]
5a7e48e570df9f001a875683,Literature,"Roman histories and biographies anticipated the extensive mediaeval literature of lives of saints and miraculous chronicles, but the most characteristic form of the Middle Ages was the romance, an adventurous and sometimes magical narrative with strong popular appeal. Controversial, religious, political and instructional literature proliferated during the Renaissance as a result of the invention of printing, while the mediaeval romance developed into a more character-based and psychological form of narrative, the novel, of which early and important examples are the Chinese Monkey and the German Faust books.",What is the Chinese Faust books an example of?,"{'text': [], 'answer_start': []}",[]
571d3f925efbb31900334eef,Pharmaceutical_industry,"In March 2001, 40 multi-national pharmaceutical companies brought litigation against South Africa for its Medicines Act, which allowed the generic production of antiretroviral drugs (ARVs) for treating HIV, despite the fact that these drugs were on-patent. HIV was and is an epidemic in South Africa, and ARVs at the time cost between 10,000 and 15,000 USD per patient per year. This was unaffordable for most South African citizens, and so the South African government committed to providing ARVs at prices closer to what people could afford. To do so, they would need to ignore the patents on drugs and produce generics within the country (using a compulsory license), or import them from abroad. After international protest in favour of public health rights (including the collection of 250,000 signatures by MSF), the governments of several developed countries (including The Netherlands, Germany, France, and later the US) backed the South African government, and the case was dropped in April of that year.",South Africa's Medicines Act allowed for the generic production of what kind of drugs?,"{'text': ['antiretroviral'], 'answer_start': [161]}",['antiretroviral']
572838a9ff5b5019007d9f60,PlayStation_3,"Although its PlayStation predecessors had been very dominant against the competition and were hugely profitable for Sony, PlayStation 3 had an inauspicious start, and Sony chairman and CEO Sir Howard Stringer initially could not convince investors of a turnaround in its fortunes. The PS3 lacked the unique gameplay of the more affordable Wii which became that generation's most successful console in terms of units sold. Furthermore, PS3 had to compete directly with Xbox 360 which had a market head start, and as a result the platform no longer had exclusive titles that the PS2 enjoyed such as the Grand Theft Auto and Final Fantasy series (regarding cross-platform games, Xbox 360 versions were generally considered superior in 2006, although by 2008 the PS3 versions had reached parity or surpassed), and it took longer than expected for PS3 to enjoy strong sales and close the gap with Xbox 360. Sony also continued to lose money on each PS3 sold through 2010, although the redesigned ""slim"" PS3 has cut these losses since then.",What was PlayStation 3's toughest competitor in the video game market?,"{'text': ['Wii'], 'answer_start': [339]}",['Wii']
573605726c16ec1900b92902,Hunting,"Shooting as practised in Britain, as opposed to traditional hunting, requires little questing for game—around thirty-five million birds are released onto shooting estates every year, some having been factory farmed. Shoots can be elaborate affairs with guns placed in assigned positions and assistants to help load shotguns. When in position, ""beaters"" move through the areas of cover, swinging sticks or flags to drive the game out. Such events are often called ""drives"". The open season for grouse in the UK begins on 12 August, the so-called Glorious Twelfth. The definition of game in the United Kingdom is governed by the Game Act 1831.",About how many birds are released onto shooting estates every year?,"{'text': ['thirty-five million'], 'answer_start': [110]}",['thirty-five million']
56e0f3907aa994140058e80a,Canon_law,The Roman Catholic Church canon law also includes the main five rites (groups) of churches which are in full union with the Roman Catholic Church and the Supreme Pontiff:,What term characterizes the intersection of the rites with the Roman Catholic Church?,"{'text': ['full union'], 'answer_start': [104]}",['full union']
56e8239437bdd419002c4461,Dialect,"Another occasionally used criterion for discriminating dialects from languages is that of linguistic authority, a more sociolinguistic notion. According to this definition, two varieties are considered dialects of the same language if (under at least some circumstances) they would defer to the same authority regarding some questions about their language. For instance, to learn the name of a new invention, or an obscure foreign species of plant, speakers of Bavarian German and East Franconian German might each consult a German dictionary or ask a German-speaking expert in the subject. By way of contrast, although Yiddish is classified by linguists as a language in the ""Middle High German"" group of languages, a Yiddish speaker would not consult a German dictionary to determine the word to use in such a case.",Why is Yiddish not a dialect of German?,"{'text': ['a Yiddish speaker would not consult a German dictionary'], 'answer_start': [717]}",['a Yiddish speaker would not consult a German dictionary']
572a369c3f37b319004787c1,"New_Haven,_Connecticut","However, an analysis by the Regional Data Cooperative for Greater New Haven, Inc., has shown that due to issues of comparative denominators and other factors, such municipality-based rankings can be considered inaccurate. For example, two cities of identical population can cover widely differing land areas, making such analyses irrelevant. The research organization called for comparisons based on neighborhoods, blocks, or standard methodologies (similar to those used by Brookings, DiversityData, and other established institutions), not based on municipalities.",According to the institution what leads to inaccurate analysis of the city?  ,"{'text': ['cities of identical population'], 'answer_start': [239]}",['cities of identical population']
5a36b52b95360f001af1b313,George_VI,"Throughout the war, the King and Queen provided morale-boosting visits throughout the United Kingdom, visiting bomb sites, munitions factories, and troops. The King visited military forces abroad in France in December 1939, North Africa and Malta in June 1943, Normandy in June 1944, southern Italy in July 1944, and the Low Countries in October 1944. Their high public profile and apparently indefatigable determination secured their place as symbols of national resistance. At a social function in 1944, Chief of the Imperial General Staff Sir Alan Brooke, revealed that every time he met Field Marshal Bernard Montgomery he thought he was after his job. The King replied: ""You should worry, when I meet him, I always think he's after mine!""",In what month in 1944 did the King meet Sir Alan Brooke?,"{'text': [], 'answer_start': []}",[]
56f80258a6d7ea1400e17373,Szlachta,"According to heraldic sources total number of legal ennoblements issued between the 14th century and the mid-18th century, is estimated at approximately 800. This is an average of only about two ennoblements per year or only 0.000 000 14 – 0.000 001 of historical population. Compare: historical demography of Poland.",What type of sources give information regarding total number of enablements?,"{'text': ['heraldic sources'], 'answer_start': [13]}",['heraldic sources']
572772c3708984140094ddd1,Nonprofit_organization,"Canada allows nonprofits to be incorporated or unincorporated. Nonprofits may incorporate either federally, under Part II of the Canada Business Corporations Act or under provincial legislation. Many of the governing Acts for Canadian nonprofits date to the early 1900s, meaning that nonprofit legislation has not kept pace with legislation that governs for-profit corporations; particularly with regards to corporate governance. Federal, and in some provinces (such as Ontario), incorporation is by way of Letters Patent, and any change to the Letters Patent (even a simple name change) requires formal approval by the appropriate government, as do by-law changes. Other provinces (such as Alberta) permit incorporation as of right, by the filing of Articles of Incorporation or Articles of Association.",How are NPOs classified in Canada?,"{'text': ['incorporated or unincorporated'], 'answer_start': [31]}",['incorporated or unincorporated']
57296da23f37b31900478393,Green,"Animals typically use the color green as camouflage, blending in with the chlorophyll green of the surrounding environment. Green animals include, especially, amphibians, reptiles, and some fish, birds and insects. Most fish, reptiles, amphibians, and birds appear green because of a reflection of blue light coming through an over-layer of yellow pigment. Perception of color can also be affected by the surrounding environment. For example, broadleaf forests typically have a yellow-green light about them as the trees filter the light. Turacoverdin is one chemical which can cause a green hue in birds, especially. Invertebrates such as insects or mollusks often display green colors because of porphyrin pigments, sometimes caused by diet. This can causes their feces to look green as well. Other chemicals which generally contribute to greenness among organisms are flavins (lychochromes) and hemanovadin. Humans have imitated this by wearing green clothing as a camouflage in military and other fields. Substances that may impart a greenish hue to one's skin include biliverdin, the green pigment in bile, and ceruloplasmin, a protein that carries copper ions in chelation.",What is a chemical that can cause green hue in birds?,"{'text': ['Turacoverdin'], 'answer_start': [539]}",['Turacoverdin']
5a870cc71d3cee001a6a1097,Tuberculosis,"Tuberculosis is classified as one of the granulomatous inflammatory diseases. Macrophages, T lymphocytes, B lymphocytes, and fibroblasts aggregate to form granulomas, with lymphocytes surrounding the infected macrophages. When other macrophages attack the infected macrophage, they fuse together to form a giant multinucleated cell in the alveolar lumen. The granuloma may prevent dissemination of the mycobacteria and provide a local environment for interaction of cells of the immune system. However, more recent evidence suggests that the bacteria use the granulomas to avoid destruction by the host's immune system. Macrophages and dendritic cells in the granulomas are unable to present antigen to lymphocytes; thus the immune response is suppressed. Bacteria inside the granuloma can become dormant, resulting in latent infection. Another feature of the granulomas is the development of abnormal cell death (necrosis) in the center of tubercles. To the naked eye, this has the texture of soft, white cheese and is termed caseous necrosis.",Which cells serve as antigen to lymphocytes?,"{'text': [], 'answer_start': []}",[]
5726a242dd62a815002e8b8c,Myanmar,"Burmese resentment was strong and was vented in violent riots that paralysed Yangon (Rangoon) on occasion all the way until the 1930s. Some of the discontent was caused by a disrespect for Burmese culture and traditions such as the British refusal to remove shoes when they entered pagodas. Buddhist monks became the vanguards of the independence movement. U Wisara, an activist monk, died in prison after a 166-day hunger strike to protest against a rule that forbade him from wearing his Buddhist robes while imprisoned.",How long was U Wisara on a strike were he refused subsistence ?,"{'text': ['166-day hunger strike'], 'answer_start': [408]}",['166-day hunger strike']
