ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,ending1,ending2,ending3,ending4,answer
36259,Chopping wood,A man is seen laying out a piece of wood. He then holds up an ax.,finally he,A man is seen laying out a piece of wood. He then holds up an ax. finally he,"['picks up a bottle of juicer.', 'uses a paintbrush to paint along the wood.', 'swings it back down.', 'takes the axe and begins carving away into the wood.']",activitynet~v_JZz2O0y0ufY,train,indomain,2,picks up a bottle of juicer.,uses a paintbrush to paint along the wood.,swings it back down.,takes the axe and begins carving away into the wood.,swings it back down.
17890,Computers and Electronics,"[header] How to redline a document in microsoft word [title] Open the document you wish to edit. [title] In the toolbar at the top of the screen, click the "" review "" tab. [step] This tab contains tools to help with spell checking and editing, including the "" track changes "" feature.",,"[header] How to redline a document in microsoft word [title] Open the document you wish to edit. [title] In the toolbar at the top of the screen, click the "" review "" tab. [step] This tab contains tools to help with spell checking and editing, including the "" track changes "" feature.","['[title] Navigate to the toolbar menu on the upper left corner of your page, and find "" font "" (column in the group). [title] In the drop-down menu, click on "" form "" (column in the group).', '[title] Click on the text you wish to modify using the text tool at the lower left. [title] Enter text if the text file path isn\'t there, or select "" replace this file "" from the options below.', '[title] Click the edit-] "" cover adding "" button. [step] This will display multiple options for each word that you edit.', '[title] Click the "" track changes "" button to enable track changes. [step] This feature places a red line in the margins next to any edited text.']",wikihow~29537,train,indomain,3,"[title] Navigate to the toolbar menu on the upper left corner of your page, and find "" font "" (column in the group). [title] In the drop-down menu, click on "" form "" (column in the group).","[title] Click on the text you wish to modify using the text tool at the lower left. [title] Enter text if the text file path isn't there, or select "" replace this file "" from the options below.","[title] Click the edit-] "" cover adding "" button. [step] This will display multiple options for each word that you edit.","[title] Click the "" track changes "" button to enable track changes. [step] This feature places a red line in the margins next to any edited text.","[title] Click the "" track changes "" button to enable track changes. [step] This feature places a red line in the margins next to any edited text."
13323,Baking cookies,She begins with all the ingredients she will need for the cookies and begins to combine the dry ingredients. She then proceeds to mix the wet ingredients in a glass bowl.,after she,She begins with all the ingredients she will need for the cookies and begins to combine the dry ingredients. She then proceeds to mix the wet ingredients in a glass bowl. after she,"['mixes all the ingredients together she begins to roll the dough into balls and place them onto a cookie sheet, and puts them into the oven.', ""'s done adding the materials together, she takes a napkin, wiping at her face before putting cookie dough on it."", ""'s done making the cookies, she then checks the timer on the oven, which is then unexpectedly turned on."", ""'s done mixing, she takes a cookie of her own creation and gives it to the man who will be eating and listening.""]",activitynet~v_bGql7ldp84A,train,indomain,0,"mixes all the ingredients together she begins to roll the dough into balls and place them onto a cookie sheet, and puts them into the oven.","'s done adding the materials together, she takes a napkin, wiping at her face before putting cookie dough on it.","'s done making the cookies, she then checks the timer on the oven, which is then unexpectedly turned on.","'s done mixing, she takes a cookie of her own creation and gives it to the man who will be eating and listening.","mixes all the ingredients together she begins to roll the dough into balls and place them onto a cookie sheet, and puts them into the oven."
8972,Relationships,"[header] How to master the art of kissing [title] Make sure your lips aren't dry-moistening them (but not too much) makes it easier for your lips to slide over your partner's. [step] Use colorless, stick lip balm for best results. Squeezable balm will work too but use in moderation.",,"[header] How to master the art of kissing [title] Make sure your lips aren't dry-moistening them (but not too much) makes it easier for your lips to slide over your partner's. [step] Use colorless, stick lip balm for best results. Squeezable balm will work too but use in moderation.","['Remember that lips are not dried out yet but are still chapped. [title] Brush your breath across your lips while your partner is kissing, a saliva drop and a kiss from your other partner comes second.', ""[title] Tilt your head away from your partner's mouth. [step] Roll your head to the side so that your lips meet again."", ""[title] Don't use too much lip balm on your lips. [step] Dry-brushing your lips with a little extra isn't always enough, especially if your lips feel chapped, sore, sensitive, or the tip of your tongue gets irritated."", ""You don't want to smear shiny carmex all over your partner. [title] Let your partner take the lead sometimes and get used to his or her style.""]",wikihow~14780,train,indomain,3,"Remember that lips are not dried out yet but are still chapped. [title] Brush your breath across your lips while your partner is kissing, a saliva drop and a kiss from your other partner comes second.",[title] Tilt your head away from your partner's mouth. [step] Roll your head to the side so that your lips meet again.,"[title] Don't use too much lip balm on your lips. [step] Dry-brushing your lips with a little extra isn't always enough, especially if your lips feel chapped, sore, sensitive, or the tip of your tongue gets irritated.",You don't want to smear shiny carmex all over your partner. [title] Let your partner take the lead sometimes and get used to his or her style.,You don't want to smear shiny carmex all over your partner. [title] Let your partner take the lead sometimes and get used to his or her style.
35506,Food and Entertaining,[header] How to deal with a friend who needs to be the center of attention [title] Love the positive-and the negative. [step] No person is all sunshine and roses and every friendship has many layers. Being someone's friend means accepting every facet of his or her personality.,,[header] How to deal with a friend who needs to be the center of attention [title] Love the positive-and the negative. [step] No person is all sunshine and roses and every friendship has many layers. Being someone's friend means accepting every facet of his or her personality.,"[""Accept that your friend needs to be the center of attention, but also that they have other wonderful qualities. [substeps] Focus on your friend's positive qualities as much as you can, even in situations where the person needs to be in the spotlight."", 'In order to enjoy the relationship you will have to strive to be good-natured, "" empathetic "", and "" positive "". [substeps] Be your friends\' sunshine, not their enemies\'.', 'A good friend is a person who will hold themselves together and be brave, feeling safe and protected in whatever situations that impact their level of happiness and wellbeing. [title] Treat people the way that they should be treated.', ""Without love, your friendship will be meaningless. [substeps] If you don't love everything about your friend, you'll find that you're dealing with a lot more than you realize.""]",wikihow~58484,train,indomain,0,"Accept that your friend needs to be the center of attention, but also that they have other wonderful qualities. [substeps] Focus on your friend's positive qualities as much as you can, even in situations where the person needs to be in the spotlight.","In order to enjoy the relationship you will have to strive to be good-natured, "" empathetic "", and "" positive "". [substeps] Be your friends' sunshine, not their enemies'.","A good friend is a person who will hold themselves together and be brave, feeling safe and protected in whatever situations that impact their level of happiness and wellbeing. [title] Treat people the way that they should be treated.","Without love, your friendship will be meaningless. [substeps] If you don't love everything about your friend, you'll find that you're dealing with a lot more than you realize.","Accept that your friend needs to be the center of attention, but also that they have other wonderful qualities. [substeps] Focus on your friend's positive qualities as much as you can, even in situations where the person needs to be in the spotlight."
17471,Food and Entertaining,"[header] How to make healthy snacks as a kid [title] Use different shapes. [step] You can choose simple shapes like squares, triangles, and circles, or more complex shapes like owls. For instance, if you think the plain square-shaped sandwich is boring, use a knife to cut from the bottom left corner towards the center of the sandwich's top edge.",,"[header] How to make healthy snacks as a kid [title] Use different shapes. [step] You can choose simple shapes like squares, triangles, and circles, or more complex shapes like owls. For instance, if you think the plain square-shaped sandwich is boring, use a knife to cut from the bottom left corner towards the center of the sandwich's top edge.","[""Be careful what type of sandwich you use when designing your child's lunch. [title] Don't get your bread too thin."", 'To make a cone for a pizza, use a cookie cutter, scissor, gripper, or hibiscus to cut into a cone shape. [title] Try realistic shapes like the round chocolate faces.', ""Then cut another identically-sized piece from the bottom-right corner toward the same point. You'll now have three triangle-shaped sandwiches (tri-wiches)."", 'Eat a piece of pizza first to earn a bowl of peanut butter. For every piece of pizza you slice out, put three dice at the bottom of a glass or bowl.']",wikihow~28851,train,indomain,2,Be careful what type of sandwich you use when designing your child's lunch. [title] Don't get your bread too thin.,"To make a cone for a pizza, use a cookie cutter, scissor, gripper, or hibiscus to cut into a cone shape. [title] Try realistic shapes like the round chocolate faces.",Then cut another identically-sized piece from the bottom-right corner toward the same point. You'll now have three triangle-shaped sandwiches (tri-wiches).,"Eat a piece of pizza first to earn a bowl of peanut butter. For every piece of pizza you slice out, put three dice at the bottom of a glass or bowl.",Then cut another identically-sized piece from the bottom-right corner toward the same point. You'll now have three triangle-shaped sandwiches (tri-wiches).
10378,Playing congas,We see a lady slowly playing a drum. We pan right and see a man on drums. We see a person in orange enter.,the lady,We see a lady slowly playing a drum. We pan right and see a man on drums. We see a person in orange enter. the lady,"['lays on the floor and we see the ending title screen.', 'stops drumming and shows her hands.', 'turns the camera left.', 'finishes playing the song and tap her heart.']",activitynet~v_2xmu01HHhKY,train,indomain,1,lays on the floor and we see the ending title screen.,stops drumming and shows her hands.,turns the camera left.,finishes playing the song and tap her heart.,stops drumming and shows her hands.
22946,Drum corps,A band is marching down a street playing drums. A woman in a black hat is standing on the street watching them.,people,A band is marching down a street playing drums. A woman in a black hat is standing on the street watching them. people,"['are dancing on a street in tortilla style costumes.', 'are standing up watching the band.', 'are sitting on stands cheering them on.', 'walks passed the street as they march.']",activitynet~v_YSO5CGeeTmE,train,indomain,1,are dancing on a street in tortilla style costumes.,are standing up watching the band.,are sitting on stands cheering them on.,walks passed the street as they march.,are standing up watching the band.
43078,Using the pommel horse,A gymnast is seen standing with his arms out and hops on a board.,he,A gymnast is seen standing with his arms out and hops on a board. he,"['flips across the track quickly.', 'turns around and assembles his arm across his head.', 'jumps off into the water holding onto other things and leads into more close ups.', 'then begins spinning himself around while judges watch on the sides.']",activitynet~v_YwUW6Qh_5TA,train,indomain,3,flips across the track quickly.,turns around and assembles his arm across his head.,jumps off into the water holding onto other things and leads into more close ups.,then begins spinning himself around while judges watch on the sides.,then begins spinning himself around while judges watch on the sides.
36467,Discus throw,A man holds a discus while swinging his arm. The man swings and throws the discus.,the man,A man holds a discus while swinging his arm. The man swings and throws the discus. the man,"['misses but continues swinging his arm.', 'steps on the slack line.', 'hits the object that is suspended above him.', 'watches the discus fly.']",activitynet~v_Q0U51Hqn21w,train,indomain,3,misses but continues swinging his arm.,steps on the slack line.,hits the object that is suspended above him.,watches the discus fly.,watches the discus fly.
25089,Health,"[header] How to put on a gait belt [title] Wash your hands. [step] Before handling the equipment or the patient, you should wash your hands thoroughly with soap and warm water. [title] Explain the process.",,"[header] How to put on a gait belt [title] Wash your hands. [step] Before handling the equipment or the patient, you should wash your hands thoroughly with soap and warm water. [title] Explain the process.","['[step] You will probably use gloves when working with equipment which requires smooth, even contact with skin and other touch appropriate objects. Explain to them that you are going to purchase a new belt, and that this is a new product-not a routine buy.', '[step] Tell the patient that they can take off their belt if they want and that they can make a new one. If they insist upon this step, let them know that if you prefer, you do not have to make them a new one at all.', '[step] Let the patient know that you intend to put the gait belt on. Describe how it goes on, what it will be used for, and when it will be removed.', '[step] You do not want to upset the patient. Be brief, but tell them what happens to the belt while you take it off.']",wikihow~41355,train,indomain,2,"[step] You will probably use gloves when working with equipment which requires smooth, even contact with skin and other touch appropriate objects. Explain to them that you are going to purchase a new belt, and that this is a new product-not a routine buy.","[step] Tell the patient that they can take off their belt if they want and that they can make a new one. If they insist upon this step, let them know that if you prefer, you do not have to make them a new one at all.","[step] Let the patient know that you intend to put the gait belt on. Describe how it goes on, what it will be used for, and when it will be removed.","[step] You do not want to upset the patient. Be brief, but tell them what happens to the belt while you take it off.","[step] Let the patient know that you intend to put the gait belt on. Describe how it goes on, what it will be used for, and when it will be removed."
2733,Finance and Business,"[header] How to open a lawn doctor franchise [title] Determine whether you have the financial qualifications for becoming a lawn doctor franchisee. [step] The total initial investment for a lawn doctor franchise falls into the range of $68 , 387-$98 , 237. You must meet the basic minimum qualifications : [substeps] Have $50 , 000 in liquid capital.",,"[header] How to open a lawn doctor franchise [title] Determine whether you have the financial qualifications for becoming a lawn doctor franchisee. [step] The total initial investment for a lawn doctor franchise falls into the range of $68 , 387-$98 , 237. You must meet the basic minimum qualifications : [substeps] Have $50 , 000 in liquid capital.","['Do not have very good profit projections of financial expenses. Do not have access to ground transportation for customers.', 'The liquid capital requirement may depend on what your total initial investment will be, including any discounts you may qualify for. Have a net worth of $250 , 000 keep in mind that lawn doctor has an initial license fee of $30 , 000, and requires some working capital.', 'You must also be at least 40 years of age. Have the work experience and outside skills required.', 'Have excellent communication skills, pay stubs, and also extensive training. Have no high school diploma or ged or another equivalent.']",wikihow~4493,train,indomain,1,Do not have very good profit projections of financial expenses. Do not have access to ground transportation for customers.,"The liquid capital requirement may depend on what your total initial investment will be, including any discounts you may qualify for. Have a net worth of $250 , 000 keep in mind that lawn doctor has an initial license fee of $30 , 000, and requires some working capital.",You must also be at least 40 years of age. Have the work experience and outside skills required.,"Have excellent communication skills, pay stubs, and also extensive training. Have no high school diploma or ged or another equivalent.","The liquid capital requirement may depend on what your total initial investment will be, including any discounts you may qualify for. Have a net worth of $250 , 000 keep in mind that lawn doctor has an initial license fee of $30 , 000, and requires some working capital."
14898,Home and Garden,"[header] How to grow cape plumbago [title] Obtain the plant. [step] Either ask for the cape plumbago from your local nursery or garden center, or get a cutting from someone you know is growing it. [substeps] If propagating the plant, use semi-ripe cuttings obtained during summer.",,"[header] How to grow cape plumbago [title] Obtain the plant. [step] Either ask for the cape plumbago from your local nursery or garden center, or get a cutting from someone you know is growing it. [substeps] If propagating the plant, use semi-ripe cuttings obtained during summer.","['[title] Select a suitable place for growing the plant. [step] Cape plumbago likes moderately rich soil.', 'If growing the plant indoors, transplant in mid-spring. If growing a bovine, cut with a sharp knife.', 'Remove the cuttings and decide which kind you would like to grow. [title] Use damp or natural soil as the base of the cape plumbago plant.', 'Do not use the softened cuttings for fertilizing since pesticides tend to sap the plant. If using the seeds, replant the seeds in 6-12 weeks, depending on plant size.']",wikihow~24646,train,indomain,0,[title] Select a suitable place for growing the plant. [step] Cape plumbago likes moderately rich soil.,"If growing the plant indoors, transplant in mid-spring. If growing a bovine, cut with a sharp knife.",Remove the cuttings and decide which kind you would like to grow. [title] Use damp or natural soil as the base of the cape plumbago plant.,"Do not use the softened cuttings for fertilizing since pesticides tend to sap the plant. If using the seeds, replant the seeds in 6-12 weeks, depending on plant size.",[title] Select a suitable place for growing the plant. [step] Cape plumbago likes moderately rich soil.
21069,Travel,[header] How to obtain a driver's license in ethiopia [title] Be aware of the licensing requirement to drive in ethiopia. [step] Know that you cannot rent and drive a car in ethiopia just because you have a home driver's license issued in your country and perhaps did so several times in another foreign country. The same holds true even if you are holder of an international driver's permit.,,[header] How to obtain a driver's license in ethiopia [title] Be aware of the licensing requirement to drive in ethiopia. [step] Know that you cannot rent and drive a car in ethiopia just because you have a home driver's license issued in your country and perhaps did so several times in another foreign country. The same holds true even if you are holder of an international driver's permit.,"['[substeps] It is illegal in ethiopia to rent a vehicle from another country. At healthcare facilities, you can also rent a vehicle from another country.', '[title] Make sure you have at least the essentials. [step] Certain items can make an accident much worse than others.', ""In other words, you are required to acquire an ethiopian driver's license. [title] Decide how you wish to acquire an ethiopian driver's license."", '[title] Be able to sell and operate an operating business in ethiopia. [step] The goods you sell should be foreign.']",wikihow~34770,train,indomain,2,"[substeps] It is illegal in ethiopia to rent a vehicle from another country. At healthcare facilities, you can also rent a vehicle from another country.",[title] Make sure you have at least the essentials. [step] Certain items can make an accident much worse than others.,"In other words, you are required to acquire an ethiopian driver's license. [title] Decide how you wish to acquire an ethiopian driver's license.",[title] Be able to sell and operate an operating business in ethiopia. [step] The goods you sell should be foreign.,"In other words, you are required to acquire an ethiopian driver's license. [title] Decide how you wish to acquire an ethiopian driver's license."
